order_id,customer_id,restaurant_name,order_date,order_value,delivery_time_mins,rating,cuisine_type,order_status
1,1,Toit Brewpub,2023-02-13,674.27,70,3.1,Continental,Delivered
2,1,Empire Restaurant,2023-09-23,639.81,49,,North Indian,Delayed
3,1,Punjab Grill,2024-07-05,772.6,25,4.0,North Indian,Delivered
4,1,Meghana Foods,2023-11-04,622.01,25,,Biryani,Cancelled
5,1,Nagarjuna,2023-03-19,679.39,56,3.0,Andhra,Delivered
6,1,Nagarjuna,2024-06-14,455.12,31,4.6,Andhra,Delivered
7,1,Koshys,2023-05-07,619.09,46,,Continental,Cancelled
8,1,Hole in the Wall Cafe,2023-10-09,430.32,38,4.2,Cafe,Delivered
9,1,Truffles,2023-05-15,231.15,40,4.0,Burgers,Delivered
10,1,Sanchez,2023-03-24,281.31,49,3.4,Mexican,Delivered
11,1,CTR,2024-06-22,241.71,33,4.3,South Indian,Delivered
12,1,Meghana Foods,2023-08-04,317.51,60,3.6,Biryani,Delivered
13,1,Sanchez,2023-04-21,844.58,46,,Mexican,Cancelled
14,1,Vidyarthi Bhavan,2023-08-10,354.3,51,4.5,South Indian,Delivered
15,1,Hole in the Wall Cafe,2024-06-17,535.89,50,3.5,Cafe,Delivered
16,1,Truffles,2023-09-08,748.09,37,4.4,Burgers,Delivered
17,1,Meghana Foods,2024-01-25,736.23,38,4.5,Biryani,Delivered
18,1,Punjab Grill,2023-10-01,382.71,54,3.5,North Indian,Delivered
19,1,Manis Cafe,2023-12-26,638.25,75,3.5,South Indian,Delivered
20,1,The Black Rabbit,2023-11-26,481.08,22,,Continental,Cancelled
21,1,Vidyarthi Bhavan,2023-11-30,238.37,51,,South Indian,Delayed
22,1,Punjab Grill,2023-07-12,469.85,26,3.9,North Indian,Delivered
23,1,Truffles,2023-08-14,335.52,50,4.0,Burgers,Delivered
24,1,Manis Cafe,2023-07-12,523.54,74,,South Indian,Delayed
25,1,Hole in the Wall Cafe,2024-06-07,582.22,75,3.3,Cafe,Delivered
26,2,Empire Restaurant,2023-05-15,760.81,68,3.3,North Indian,Delivered
27,2,Corner House,2023-07-25,707.3,21,4.0,Desserts,Delivered
28,2,The Black Rabbit,2023-05-09,438.44,29,3.6,Continental,Delivered
29,2,Toit Brewpub,2023-03-26,759.59,31,3.8,Continental,Delivered
30,2,Hole in the Wall Cafe,2023-04-15,472.8,57,3.0,Cafe,Delivered
31,2,Meghana Foods,2023-04-24,351.34,71,3.5,Biryani,Delivered
32,2,Punjab Grill,2023-03-13,359.41,42,,North Indian,Delayed
33,3,Fatty Bao,2023-06-28,316.04,74,3.2,Asian,Delivered
34,3,Corner House,2024-01-12,834.56,64,3.4,Desserts,Delivered
35,3,Meghana Foods,2023-08-16,694.82,56,,Biryani,Delayed
36,3,Karavalli,2024-07-12,782.91,67,3.7,Coastal,Delivered
37,3,Shivaji Military Hotel,2024-05-21,303.3,58,3.3,Mutton,Delivered
38,3,Vidyarthi Bhavan,2023-08-19,589.22,60,3.5,South Indian,Delivered
39,3,Punjab Grill,2024-05-25,662.65,22,4.0,North Indian,Delivered
40,3,Manis Cafe,2023-09-21,290.56,67,3.6,South Indian,Delivered
41,3,Koshys,2024-07-19,340.77,53,3.7,Continental,Delivered
42,3,Hole in the Wall Cafe,2024-06-28,759.28,71,3.1,Cafe,Delivered
43,4,Fatty Bao,2023-09-14,406.04,74,3.4,Asian,Delivered
44,4,Sanchez,2023-02-19,620.98,27,3.9,Mexican,Delivered
45,4,Koshys,2024-03-12,480.03,26,4.2,Continental,Delivered
46,4,Karavalli,2024-01-22,594.78,34,4.6,Coastal,Delivered
47,4,Empire Restaurant,2023-09-23,176.05,28,,North Indian,Delayed
48,4,Shivaji Military Hotel,2023-03-27,467.55,54,3.2,Mutton,Delivered
49,4,Chianti,2024-05-10,769.79,67,3.4,Italian,Delivered
50,4,Nagarjuna,2024-05-03,302.09,22,4.4,Andhra,Delivered
51,4,Empire Restaurant,2023-09-19,781.19,63,3.1,North Indian,Delivered
52,4,Nagarjuna,2023-05-12,814.31,32,4.6,Andhra,Delivered
53,4,Karavalli,2023-05-21,383.46,21,,Coastal,Delayed
54,4,Truffles,2023-10-29,295.01,73,3.6,Burgers,Delivered
55,5,Nagarjuna,2023-06-02,841.27,74,3.8,Andhra,Delivered
56,5,Toit Brewpub,2023-07-02,168.05,27,4.2,Continental,Delivered
57,6,Toit Brewpub,2023-04-01,669.2,36,3.7,Continental,Delivered
58,6,Truffles,2024-04-13,403.43,50,3.8,Burgers,Delivered
59,6,Byg Brewski,2023-11-20,180.36,34,4.6,Continental,Delivered
60,6,Byg Brewski,2024-03-10,824.82,39,4.2,Continental,Delivered
61,6,Fatty Bao,2023-12-14,493.19,47,,Asian,Cancelled
62,6,Truffles,2023-05-25,195.98,40,4.3,Burgers,Delivered
63,7,Karavalli,2023-10-06,503.89,53,3.9,Coastal,Delivered
64,7,Empire Restaurant,2024-05-09,764.39,74,3.3,North Indian,Delivered
65,7,The Black Rabbit,2023-07-23,439.67,48,3.7,Continental,Delivered
66,7,The Black Rabbit,2023-10-30,448.73,66,2.7,Continental,Delivered
67,7,Vidyarthi Bhavan,2023-10-22,196.99,63,4.1,South Indian,Delivered
68,7,The Black Rabbit,2023-06-05,410.85,26,4.0,Continental,Delivered
69,7,Chianti,2023-05-24,619.01,55,3.6,Italian,Delivered
70,7,The Black Rabbit,2024-04-03,186.01,75,3.3,Continental,Delivered
71,7,Koshys,2023-10-10,298.92,26,4.2,Continental,Delivered
72,7,Empire Restaurant,2023-08-31,407.29,42,4.3,North Indian,Delivered
73,7,Shivaji Military Hotel,2024-03-02,542.68,71,3.0,Mutton,Delivered
74,8,Nagarjuna,2023-10-01,641.89,21,3.9,Andhra,Delivered
75,8,Koshys,2023-07-23,250.28,20,3.8,Continental,Delivered
76,8,Vidyarthi Bhavan,2023-06-23,171.46,67,3.9,South Indian,Delivered
77,8,Fatty Bao,2023-07-17,260.19,46,3.6,Asian,Delivered
78,8,Chianti,2023-08-05,186.83,58,2.9,Italian,Delivered
79,8,CTR,2023-09-17,460.18,63,3.4,South Indian,Delivered
80,8,Punjab Grill,2023-09-20,678.46,46,3.3,North Indian,Delivered
81,8,Empire Restaurant,2023-09-03,565.19,38,4.1,North Indian,Delivered
82,8,CTR,2023-08-23,569.53,34,4.4,South Indian,Delivered
83,8,Brahmin Coffee Bar,2023-08-27,328.86,69,3.3,South Indian,Delivered
84,8,Hole in the Wall Cafe,2023-07-25,240.43,67,3.2,Cafe,Delivered
85,9,CTR,2024-02-02,794.81,47,,South Indian,Cancelled
86,9,Chianti,2024-04-07,442.39,45,4.2,Italian,Delivered
87,9,Toit Brewpub,2023-02-18,472.07,71,3.7,Continental,Delivered
88,9,The Black Rabbit,2023-03-20,454.97,74,2.7,Continental,Delivered
89,9,Corner House,2023-03-30,383.15,67,3.5,Desserts,Delivered
90,9,Byg Brewski,2023-06-09,693.36,52,3.6,Continental,Delivered
91,9,Empire Restaurant,2023-04-19,271.45,29,3.8,North Indian,Delivered
92,9,Hole in the Wall Cafe,2023-03-17,681.91,49,3.9,Cafe,Delivered
93,9,Manis Cafe,2024-01-24,478.24,29,4.5,South Indian,Delivered
94,9,CTR,2024-01-01,367.29,42,4.5,South Indian,Delivered
95,9,Corner House,2023-04-26,834.16,24,4.5,Desserts,Delivered
96,9,Punjab Grill,2024-04-11,704.27,57,,North Indian,Cancelled
97,9,Manis Cafe,2023-09-28,255.6,58,3.7,South Indian,Delivered
98,9,Truffles,2023-06-20,177.4,52,3.9,Burgers,Delivered
99,9,Koshys,2023-09-08,421.19,43,4.4,Continental,Delivered
100,9,Truffles,2023-06-28,624.87,41,3.9,Burgers,Delivered
101,9,Truffles,2023-07-03,791.72,57,3.5,Burgers,Delivered
102,9,Karavalli,2023-06-19,366.71,65,4.1,Coastal,Delivered
103,9,Vidyarthi Bhavan,2024-06-08,812.98,62,,South Indian,Delayed
104,9,Truffles,2024-10-14,505.94,61,3.5,Burgers,Delivered
105,9,Brahmin Coffee Bar,2023-07-30,490.39,41,4.8,South Indian,Delivered
106,9,Truffles,2023-06-12,220.8,38,4.5,Burgers,Delivered
107,9,Manis Cafe,2023-06-16,568.07,69,3.8,South Indian,Delivered
108,9,Karavalli,2023-11-07,654.83,71,4.0,Coastal,Delivered
109,9,Punjab Grill,2023-09-17,673.98,59,2.9,North Indian,Delivered
110,9,Corner House,2023-09-23,782.78,71,3.8,Desserts,Delivered
111,9,Punjab Grill,2024-03-16,694.69,49,3.7,North Indian,Delivered
112,9,Brahmin Coffee Bar,2023-08-24,761.1,71,3.7,South Indian,Delivered
113,9,Sanchez,2023-12-15,511.14,26,4.1,Mexican,Delivered
114,9,Nagarjuna,2023-07-24,253.14,48,4.1,Andhra,Delivered
115,10,Meghana Foods,2023-05-29,501.4,46,3.5,Biryani,Delivered
116,11,Empire Restaurant,2023-01-18,384.7,73,3.4,North Indian,Delivered
117,11,Corner House,2023-01-14,731.78,73,3.6,Desserts,Delivered
118,12,Brahmin Coffee Bar,2023-01-29,808.16,73,3.3,South Indian,Delivered
119,12,Corner House,2023-03-23,183.42,35,4.2,Desserts,Delivered
120,12,Truffles,2024-05-13,499.88,27,4.5,Burgers,Delivered
121,12,Chianti,2024-07-16,353.89,35,4.2,Italian,Delivered
122,12,Chianti,2023-06-13,617.75,46,3.3,Italian,Delivered
123,12,Byg Brewski,2023-03-21,841.83,54,3.8,Continental,Delivered
124,12,CTR,2023-10-18,411.31,60,3.6,South Indian,Delivered
125,12,Koshys,2023-03-31,589.78,35,4.3,Continental,Delivered
126,13,Sanchez,2023-04-12,272.56,41,4.2,Mexican,Delivered
127,13,Hole in the Wall Cafe,2023-05-15,244.4,60,3.0,Cafe,Delivered
128,13,CTR,2023-05-19,703.78,38,,South Indian,Cancelled
129,13,Corner House,2023-04-17,720.78,52,3.9,Desserts,Delivered
130,13,Brahmin Coffee Bar,2023-02-10,696.59,38,,South Indian,Cancelled
131,13,Nagarjuna,2023-05-01,455.87,27,4.4,Andhra,Delivered
132,13,Fatty Bao,2023-06-03,497.34,41,4.4,Asian,Delivered
133,13,Nagarjuna,2023-06-28,447.15,71,3.1,Andhra,Delivered
134,14,Empire Restaurant,2023-04-27,356.95,25,3.9,North Indian,Delivered
135,15,Punjab Grill,2023-10-20,788.13,22,4.1,North Indian,Delivered
136,15,Nagarjuna,2023-12-07,813.53,60,3.8,Andhra,Delivered
137,15,Fatty Bao,2024-03-25,674.93,43,4.0,Asian,Delivered
138,15,Vidyarthi Bhavan,2023-05-24,696.92,74,3.9,South Indian,Delivered
139,15,Shivaji Military Hotel,2023-06-17,403.51,69,,Mutton,Delayed
140,16,Koshys,2023-12-29,551.75,48,3.9,Continental,Delivered
141,16,Nagarjuna,2023-12-05,168.14,35,4.6,Andhra,Delivered
142,16,Sanchez,2024-08-02,332.2,27,3.7,Mexican,Delivered
143,16,Hole in the Wall Cafe,2024-04-25,746.98,32,3.8,Cafe,Delivered
144,16,Manis Cafe,2023-08-26,195.46,62,3.6,South Indian,Delivered
145,16,Toit Brewpub,2023-10-06,306.97,70,,Continental,Delayed
146,16,Hole in the Wall Cafe,2023-09-21,550.59,21,4.0,Cafe,Delivered
147,16,Karavalli,2023-12-07,428.71,25,4.2,Coastal,Delivered
148,16,The Black Rabbit,2024-09-25,237.73,72,3.1,Continental,Delivered
149,16,Punjab Grill,2023-10-03,239.83,63,3.1,North Indian,Delivered
150,17,Empire Restaurant,2023-06-16,265.26,53,3.3,North Indian,Delivered
151,17,Byg Brewski,2023-07-23,325.42,38,4.5,Continental,Delivered
152,17,Vidyarthi Bhavan,2024-02-06,523.43,60,3.6,South Indian,Delivered
153,17,Chianti,2023-10-04,587.14,29,,Italian,Cancelled
154,17,CTR,2024-02-23,206.86,72,,South Indian,Delayed
155,17,Brahmin Coffee Bar,2024-02-11,582.68,69,3.7,South Indian,Delivered
156,17,Corner House,2024-03-12,715.14,50,3.8,Desserts,Delivered
157,17,CTR,2023-07-02,488.98,30,4.5,South Indian,Delivered
158,17,Manis Cafe,2023-08-19,391.76,66,4.1,South Indian,Delivered
159,17,Sanchez,2024-02-23,476.53,26,3.8,Mexican,Delivered
160,17,Empire Restaurant,2023-08-21,418.9,23,3.8,North Indian,Delivered
161,17,Manis Cafe,2023-09-04,282.88,56,3.9,South Indian,Delivered
162,17,Hole in the Wall Cafe,2024-10-10,213.03,39,4.1,Cafe,Delivered
163,17,Brahmin Coffee Bar,2024-02-26,185.38,57,3.5,South Indian,Delivered
164,17,Sanchez,2024-04-17,451.65,20,,Mexican,Cancelled
165,17,Fatty Bao,2024-07-30,185.81,43,3.6,Asian,Delivered
166,18,Punjab Grill,2023-10-04,727.72,68,3.1,North Indian,Delivered
167,18,Vidyarthi Bhavan,2023-05-25,706.43,26,4.5,South Indian,Delivered
168,18,Brahmin Coffee Bar,2023-04-12,500.05,58,3.6,South Indian,Delivered
169,18,Hole in the Wall Cafe,2023-04-29,574.38,53,3.7,Cafe,Delivered
170,18,Manis Cafe,2023-12-18,581.55,30,4.4,South Indian,Delivered
171,18,Byg Brewski,2024-01-23,492.89,73,3.4,Continental,Delivered
172,18,Koshys,2023-03-07,835.93,41,4.2,Continental,Delivered
173,18,Hole in the Wall Cafe,2023-04-02,698.03,36,4.5,Cafe,Delivered
174,18,CTR,2023-10-19,516.96,57,3.7,South Indian,Delivered
175,18,Shivaji Military Hotel,2023-05-19,640.36,22,4.0,Mutton,Delivered
176,18,The Black Rabbit,2023-08-17,292.72,29,3.7,Continental,Delivered
177,18,Vidyarthi Bhavan,2023-05-17,377.53,53,4.0,South Indian,Delivered
178,18,Manis Cafe,2024-04-08,523.19,31,4.5,South Indian,Delivered
179,18,Hole in the Wall Cafe,2024-01-31,345.3,32,4.5,Cafe,Delivered
180,18,Brahmin Coffee Bar,2023-08-24,371.93,64,3.8,South Indian,Delivered
181,18,Empire Restaurant,2023-08-29,415.79,56,,North Indian,Delayed
182,18,Vidyarthi Bhavan,2024-05-08,818.72,38,4.2,South Indian,Delivered
183,18,Hole in the Wall Cafe,2024-01-01,527.0,33,,Cafe,Delayed
184,18,Empire Restaurant,2023-06-28,317.5,59,3.4,North Indian,Delivered
185,18,Shivaji Military Hotel,2024-10-18,220.14,60,2.9,Mutton,Delivered
186,18,Vidyarthi Bhavan,2023-06-19,834.54,20,5.0,South Indian,Delivered
187,18,Hole in the Wall Cafe,2024-01-02,824.74,61,3.1,Cafe,Delivered
188,18,Truffles,2023-06-08,524.61,61,3.5,Burgers,Delivered
